object_ID,first_frame (0-indexed),last_frame,"divide (1), die (0), or stay (-1)",division_frame,child_1_ID,child_2_ID,true_state (PC9=0; H1299 = 1)
3052,436,586,1,586,3105,3106,1
3053,444,591,1,591,3107,3108,1
3054,444,592,1,592,3109,3110,1
3055,481,627,1,627,3111,3112,1
3056,481,629,1,629,3113,3114,1
3057,482,638,1,638,3115,3116,1
3058,482,639,1,639,3117,3118,1
3059,483,637,1,637,3119,3120,1
3060,483,631,1,631,3121,3122,1
3061,484,623,1,623,3123,3124,1
3062,484,624,1,624,3125,3126,1
3063,537,682,-1,None,None,None,1
3064,537,682,-1,None,None,None,1
3065,539,682,-1,None,None,None,1
3066,539,682,-1,None,None,None,1
3067,545,682,-1,None,None,None,1
3068,545,682,-1,None,None,None,1
3069,549,682,-1,None,None,None,1
3070,549,682,-1,None,None,None,1
3071,553,682,-1,None,None,None,1
3072,553,682,-1,None,None,None,1
3073,554,682,-1,None,None,None,1
3074,554,682,-1,None,None,None,1
3075,562,682,-1,None,None,None,1
3076,562,682,-1,None,None,None,1
3077,564,682,-1,None,None,None,1
3078,564,682,-1,None,None,None,1
3079,572,682,-1,None,None,None,1
3080,572,682,-1,None,None,None,1
3081,573,682,-1,None,None,None,1
3082,573,682,-1,None,None,None,1
3083,570,682,-1,None,None,None,1
3084,570,682,-1,None,None,None,1
3085,569,682,-1,None,None,None,1
3086,569,682,-1,None,None,None,1
3087,556,682,-1,None,None,None,1
3088,556,682,-1,None,None,None,1
3089,562,682,-1,None,None,None,1
3090,562,682,-1,None,None,None,1
3091,577,682,-1,None,None,None,1
3092,577,682,-1,None,None,None,1
3093,572,682,-1,None,None,None,1
3094,572,682,-1,None,None,None,1
3095,580,682,-1,None,None,None,1
3096,580,682,-1,None,None,None,1
3097,579,682,-1,None,None,None,1
3098,579,682,-1,None,None,None,1
3099,589,682,-1,None,None,None,1
3100,589,682,-1,None,None,None,1
3101,590,682,-1,None,None,None,1
3102,590,682,-1,None,None,None,1
3103,588,682,-1,None,None,None,1
3104,588,682,-1,None,None,None,1
3105,587,682,-1,None,None,None,1
3106,587,682,-1,None,None,None,1
3107,592,682,-1,None,None,None,1
3108,592,682,-1,None,None,None,1
3109,593,682,-1,None,None,None,1
3110,593,682,-1,None,None,None,1
3111,628,682,-1,None,None,None,1
3112,628,682,-1,None,None,None,1
3113,630,682,-1,None,None,None,1
3114,630,682,-1,None,None,None,1
3115,639,682,-1,None,None,None,1
3116,639,682,-1,None,None,None,1
3117,640,682,-1,None,None,None,1
3118,640,682,-1,None,None,None,1
3119,638,682,-1,None,None,None,1
3120,638,682,-1,None,None,None,1
3121,632,682,-1,None,None,None,1
3122,632,682,-1,None,None,None,1
3123,624,682,-1,None,None,None,1
3124,624,682,-1,None,None,None,1
3125,625,682,-1,None,None,None,1
3126,625,682,-1,None,None,None,1
