object_ID,first_frame (0-indexed),last_frame,"divide (1), die (0), or stay (-1)",division_frame,child_1_ID,child_2_ID,true_state (PC9=0; H1299 = 1)
1,0,72,1,72,2,5,0
3,0,60,1,60,145,146,0
64,0,8,1,8,73,74,0
73,9,137,1,137,75,76,0
74,9,143,1,143,77,78,0
145,61,201,1,201,49,50,0
146,61,164,1,164,147,148,0
2,73,174,1,174,180,181,0
5,73,174,1,174,178,179,0
75,138,269,1,269,700,701,0
76,138,307,1,307,702,703,0
77,144,274,1,274,704,705,0
78,144,277,1,277,706,707,0
147,165,282,1,282,206,207,0
148,165,301,1,301,208,209,0
178,175,328,1,328,800,801,0
800,329,682,-1,None,None,None,0
801,329,682,-1,None,None,None,0
179,175,315,1,315,802,803,0
802,316,682,-1,None,None,None,0
803,316,682,-1,None,None,None,0
49,202,311,1,311,253,254,0
50,202,310,1,310,251,252,0
180,175,299,1,299,806,807,0
181,175,301,1,301,804,805,0
206,283,543,1,543,210,211,0
207,283,551,1,551,212,213,0
208,302,565,1,565,216,217,0
209,302,548,1,548,214,215,0
251,311,568,1,568,257,258,0
252,311,569,1,569,255,256,0
253,312,625,1,625,1002,1003,0
254,312,633,1,633,1004,1005,0
700,270,415,1,415,708,709,0
701,270,409,1,409,710,711,0
702,308,444,1,444,712,713,0
703,308,444,1,444,714,715,0
704,275,660,1,660,1006,1007,0
705,275,682,-1,None,None,None,0
706,278,682,-1,None,None,None,0
707,278,682,-1,None,None,None,0
804,302,556,1,556,812,813,0
805,302,586,1,586,1000,1001,0
806,299,467,1,467,808,809,0
807,299,507,1,507,810,811,0
708,416,682,-1,None,None,None,0
709,416,682,-1,None,None,None,0
710,410,682,-1,None,None,None,0
711,410,682,-1,None,None,None,0
712,445,682,-1,None,None,None,0
713,445,682,-1,None,None,None,0
714,445,682,-1,None,None,None,0
715,445,682,-1,None,None,None,0
808,468,682,-1,None,None,None,0
809,468,682,-1,None,None,None,0
810,508,682,-1,None,None,None,0
811,508,682,-1,None,None,None,0
210,544,682,-1,None,None,None,0
211,544,682,-1,None,None,None,0
212,552,682,-1,None,None,None,0
213,552,682,-1,None,None,None,0
214,549,682,-1,None,None,None,0
215,549,682,-1,None,None,None,0
216,566,682,-1,None,None,None,0
217,566,682,-1,None,None,None,0
812,557,682,-1,None,None,None,0
813,557,682,-1,None,None,None,0
257,569,682,-1,None,None,None,0
258,569,682,-1,None,None,None,0
255,570,682,-1,None,None,None,0
256,570,682,-1,None,None,None,0
1000,587,682,-1,None,None,None,0
1001,587,682,-1,None,None,None,0
1002,626,682,-1,None,None,None,0
1003,626,682,-1,None,None,None,0
1004,634,682,-1,None,None,None,0
1005,634,682,-1,None,None,None,0
1006,661,682,-1,None,None,None,0
1007,661,682,-1,None,None,None,0
3001,0,41,1,41,3003,3004,1
3002,0,41,1,41,2000,3006,1
3003,42,168,1,168,3007,3008,1
3004,42,169,1,169,3009,3010,1
2000,42,168,1,168,3011,3012,1
3006,42,168,1,168,3013,3014,1
3007,169,270,1,270,3015,3016,1
3008,169,275,1,275,3017,3018,1
3009,170,281,1,281,3019,3020,1
3010,170,294,1,294,3021,3022,1
3011,169,311,1,311,3023,3024,1
3012,169,319,1,319,3025,3026,1
3013,169,285,1,285,3027,3028,1
3014,169,300,1,300,3029,3030,1
3015,271,388,1,388,3031,3032,1
3016,271,395,1,395,3033,3034,1
3017,276,398,1,398,3035,3036,1
3018,276,406,1,406,3037,3038,1
3019,282,411,1,411,3039,3040,1
3020,282,421,1,421,3041,3042,1
3021,295,424,1,424,3043,3044,1
3022,295,435,1,435,3045,3046,1
3023,312,436,1,436,3047,3048,1
3024,312,443,1,443,2001,2002,1
3025,320,435,1,435,3051,3052,1
3026,320,443,1,443,3053,3054,1
3027,286,480,1,480,3055,3056,1
3028,286,481,1,481,3057,3058,1
3029,301,482,1,482,3059,3060,1
3030,301,483,1,483,3061,3062,1
3031,389,536,1,536,3063,3064,1
3032,389,538,1,538,3065,3066,1
3033,396,544,1,544,3067,3068,1
3034,396,548,1,548,3069,3070,1
3035,399,552,1,552,3071,3072,1
3036,399,553,1,553,3073,3074,1
3037,407,561,1,561,3075,3076,1
3038,407,563,1,563,3077,3078,1
3039,412,571,1,571,3079,3080,1
3040,412,572,1,572,3081,3082,1
3041,422,569,1,569,3083,3084,1
3042,422,568,1,568,3085,3086,1
3043,425,555,1,555,3087,3088,1
3044,425,561,1,561,3089,3090,1
3045,436,576,1,576,3091,3092,1
3046,436,571,1,571,3093,3094,1
3047,437,579,1,579,3095,3096,1
3048,437,578,1,578,3097,3098,1
2001,444,588,1,588,3099,3100,1
2002,444,589,1,589,3101,3102,1
3051,436,587,1,587,3103,3104,1
