object_ID,first_frame (0-indexed),last_frame,"divide (1), die (0), or stay (-1)",division_frame,child_1_ID,child_2_ID,true_state (PC9=0; H1299 = 1)
1,0,3,1,3,2,3,0
2,4,527,1,527,6,7,0
3,4,533,1,533,4,5,0
4,534,865,-1,None,None,None,0
5,534,865,-1,None,None,None,0
6,528,865,-1,None,None,None,0
7,528,865,-1,None,None,None,0
