object_ID,first_frame (0-indexed),last_frame,"divide (1), die (0), or stay (-1)",division_frame,child_1_ID,child_2_ID,true_state (PC9=0; H1299 = 1)
1,0,72,1,72,2,5,0
3,0,60,1,60,145,146,0
64,0,8,1,8,73,74,0
73,9,137,1,137,75,76,0
74,9,143,1,143,77,78,0
145,61,201,1,201,49,50,0
146,61,164,1,164,147,148,0
2,73,174,1,174,180,181,0
5,73,174,1,174,178,179,0
75,138,269,1,269,700,701,0
76,138,307,1,307,702,703,0
77,144,274,1,274,704,705,0
78,144,277,1,277,706,707,0
147,165,282,1,282,206,207,0
148,165,301,1,301,208,209,0
178,175,328,1,328,800,801,0
179,175,315,1,315,802,803,0
49,202,311,1,311,253,254,0
50,202,310,1,310,251,252,0
180,175,299,1,299,806,807,0
181,175,301,1,301,804,805,0
206,283,543,1,543,210,211,0
207,283,551,1,551,212,213,0
208,302,565,1,565,216,217,0
209,302,548,1,548,214,215,0
251,311,568,1,568,257,258,0
252,311,569,1,569,255,256,0
253,312,625,1,625,1002,1003,0
254,312,633,1,633,1004,1005,0
700,270,415,1,415,708,709,0
701,270,409,1,409,710,711,0
702,308,444,1,444,712,713,0
703,308,444,1,444,714,715,0
704,275,660,1,660,1006,1007,0
705,275,682,-1,None,None,None,0
706,278,682,-1,None,None,None,0
707,278,682,-1,None,None,None,0
804,302,556,1,556,812,813,0
805,302,586,1,586,1000,1001,0
806,299,467,1,467,808,809,0
807,299,507,1,507,810,811,0
708,416,682,-1,None,None,None,0
709,416,682,-1,None,None,None,0
710,410,682,-1,None,None,None,0
711,410,682,-1,None,None,None,0
712,445,682,-1,None,None,None,0
713,445,682,-1,None,None,None,0
714,445,682,-1,None,None,None,0
715,445,682,-1,None,None,None,0
808,468,682,-1,None,None,None,0
809,468,682,-1,None,None,None,0
810,508,682,-1,None,None,None,0
811,508,682,-1,None,None,None,0
210,544,682,-1,None,None,None,0
211,544,682,-1,None,None,None,0
212,552,682,-1,None,None,None,0
213,552,682,-1,None,None,None,0
214,549,682,-1,None,None,None,0
215,549,682,-1,None,None,None,0
216,566,682,-1,None,None,None,0
217,566,682,-1,None,None,None,0
812,557,682,-1,None,None,None,0
813,557,682,-1,None,None,None,0
257,569,682,-1,None,None,None,0
258,569,682,-1,None,None,None,0
255,570,682,-1,None,None,None,0
256,570,682,-1,None,None,None,0
1000,587,682,-1,None,None,None,0
1001,587,682,-1,None,None,None,0
1002,626,682,-1,None,None,None,0
1003,626,682,-1,None,None,None,0
1004,634,682,-1,None,None,None,0
1005,634,682,-1,None,None,None,0
1006,661,682,-1,None,None,None,0
1007,661,682,-1,None,None,None,0
1,0,41,1,41,3,4,1
2,0,41,1,41,5,6,1
3,42,168,1,168,7,8,1
4,42,169,1,169,9,10,1
5,42,168,1,168,11,12,1
6,42,168,1,168,13,14,1
7,169,270,1,270,15,16,1
8,169,275,1,275,17,18,1
9,170,281,1,281,19,20,1
10,170,294,1,294,21,22,1
11,169,311,1,311,23,24,1
12,169,319,1,319,25,26,1
13,169,285,1,285,27,28,1
14,169,300,1,300,29,30,1
15,271,388,1,388,31,32,1
16,271,395,1,395,33,34,1
17,276,398,1,398,35,36,1
18,276,406,1,406,37,38,1
19,282,411,1,411,39,40,1
20,282,421,1,421,41,42,1
21,295,424,1,424,43,44,1
22,295,435,1,435,45,46,1
23,312,436,1,436,47,48,1
24,312,443,1,443,49,50,1
25,320,435,1,435,51,52,1
26,320,443,1,443,53,54,1
27,286,480,1,480,55,56,1
28,286,481,1,481,57,58,1
29,301,482,1,482,59,60,1
30,301,483,1,483,61,62,1
31,389,536,1,536,63,64,1
32,389,538,1,538,65,66,1
33,396,544,1,544,67,68,1
34,396,548,1,548,69,70,1
35,399,552,1,552,71,72,1
36,399,553,1,553,73,74,1
37,407,561,1,561,75,76,1
38,407,563,1,563,77,78,1
39,412,571,1,571,79,80,1
40,412,572,1,572,81,82,1
41,422,569,1,569,83,84,1
42,422,568,1,568,85,86,1
43,425,555,1,555,87,88,1
44,425,561,1,561,89,90,1
45,436,576,1,576,91,92,1
46,436,571,1,571,93,94,1
47,437,579,1,579,95,96,1
48,437,578,1,578,97,98,1
49,444,588,1,588,99,100,1
50,444,589,1,589,101,102,1
51,436,587,1,587,103,104,1
52,436,586,1,586,105,106,1
53,444,591,1,591,107,108,1
54,444,592,1,592,109,110,1
55,481,627,1,627,111,112,1
56,481,629,1,629,113,114,1
57,482,638,1,638,115,116,1
58,482,639,1,639,117,118,1
59,483,637,1,637,119,120,1
60,483,631,1,631,121,122,1
61,484,623,1,623,123,124,1
62,484,624,1,624,125,126,1
63,537,682,-1,None,None,None,1
64,537,682,-1,None,None,None,1
