object_ID,first_frame (0-indexed),last_frame,"divide (1), die (0), or stay (-1)",division_frame,child_1_ID,child_2_ID,true_state (PC9=0; H1299 = 1)
65,539,682,-1,None,None,None,1
66,539,682,-1,None,None,None,1
67,545,682,-1,None,None,None,1
68,545,682,-1,None,None,None,1
69,549,682,-1,None,None,None,1
70,549,682,-1,None,None,None,1
71,553,682,-1,None,None,None,1
72,553,682,-1,None,None,None,1
73,554,682,-1,None,None,None,1
74,554,682,-1,None,None,None,1
75,562,682,-1,None,None,None,1
76,562,682,-1,None,None,None,1
77,564,682,-1,None,None,None,1
78,564,682,-1,None,None,None,1
79,572,682,-1,None,None,None,1
80,572,682,-1,None,None,None,1
81,573,682,-1,None,None,None,1
82,573,682,-1,None,None,None,1
83,570,682,-1,None,None,None,1
84,570,682,-1,None,None,None,1
85,569,682,-1,None,None,None,1
86,569,682,-1,None,None,None,1
87,556,682,-1,None,None,None,1
88,556,682,-1,None,None,None,1
89,562,682,-1,None,None,None,1
90,562,682,-1,None,None,None,1
91,577,682,-1,None,None,None,1
92,577,682,-1,None,None,None,1
93,572,682,-1,None,None,None,1
94,572,682,-1,None,None,None,1
95,580,682,-1,None,None,None,1
96,580,682,-1,None,None,None,1
97,579,682,-1,None,None,None,1
98,579,682,-1,None,None,None,1
99,589,682,-1,None,None,None,1
100,589,682,-1,None,None,None,1
101,590,682,-1,None,None,None,1
102,590,682,-1,None,None,None,1
103,588,682,-1,None,None,None,1
104,588,682,-1,None,None,None,1
105,587,682,-1,None,None,None,1
106,587,682,-1,None,None,None,1
107,592,682,-1,None,None,None,1
108,592,682,-1,None,None,None,1
109,593,682,-1,None,None,None,1
110,593,682,-1,None,None,None,1
111,628,682,-1,None,None,None,1
112,628,682,-1,None,None,None,1
113,630,682,-1,None,None,None,1
114,630,682,-1,None,None,None,1
115,639,682,-1,None,None,None,1
116,639,682,-1,None,None,None,1
117,640,682,-1,None,None,None,1
118,640,682,-1,None,None,None,1
119,638,682,-1,None,None,None,1
120,638,682,-1,None,None,None,1
121,632,682,-1,None,None,None,1
122,632,682,-1,None,None,None,1
123,624,682,-1,None,None,None,1
124,624,682,-1,None,None,None,1
125,625,682,-1,None,None,None,1
126,625,682,-1,None,None,None,1
