TID,distance_mean,distance_total,average_velocity,Nr,PID,xpixel,ypixel,tmin,Ival,Lenpixel,D2Spixel,D2Rpixel,D2Ppixel,vpixelmin,αdeg,Δαdeg,well,field,treatment,motherID,generation,lineage,distance
1,6.793790688002519,67.9379068800252,13.587581376005039,1,1,896.732,486.51,0,66,0,0,NA,NA,NA,NA,NA,A04,B7_2,OSM,0,1,1,0
1,6.793790688002519,67.9379068800252,13.587581376005039,2,2,910.389,481.672,30,132,14.488,14.488,NA,14.488,0.483,-19.507,NA,A04,B7_2,OSM,0,1,1,14.488612528465268
1,6.793790688002519,67.9379068800252,13.587581376005039,3,3,910.445,491.53,60,138,24.347,14.603,NA,9.859,0.329,89.674,109.181,A04,B7_2,OSM,0,1,1,9.858159057349345
1,6.793790688002519,67.9379068800252,13.587581376005039,4,4,906.761,486.177,90,92,30.846,10.034,NA,6.499,0.217,-124.534,145.792,A04,B7_2,OSM,0,1,1,6.498189363199575
1,6.793790688002519,67.9379068800252,13.587581376005039,5,5,905.128,497.641,120,80,42.426,13.943,NA,11.58,0.386,98.106,-137.359,A04,B7_2,OSM,0,1,1,11.57972301050417
1,6.793790688002519,67.9379068800252,13.587581376005039,6,6,901.189,490.036,150,145,50.991,5.683,NA,8.565,0.286,-117.384,144.509,A04,B7_2,OSM,0,1,1,8.564563386419701
1,6.793790688002519,67.9379068800252,13.587581376005039,7,7,907.907,489.716,180,67,57.717,11.626,NA,6.726,0.224,-2.723,114.661,A04,B7_2,OSM,0,1,1,6.725616997718573
1,6.793790688002519,67.9379068800252,13.587581376005039,8,8,909.202,488.511,210,63,59.487,12.629,NA,1.769,0.059,-42.965,-40.242,A04,B7_2,OSM,0,1,1,1.768912095045951
1,6.793790688002519,67.9379068800252,13.587581376005039,9,9,911.162,486.136,240,161,62.565,14.434,NA,3.079,0.103,-50.458,-7.492,A04,B7_2,OSM,0,1,1,3.079322165672202
1,6.793790688002519,67.9379068800252,13.587581376005039,10,10,907.254,489.826,270,106,67.939,11.031,NA,5.374,0.179,136.65,-172.893,A04,B7_2,OSM,0,1,1,5.374808275650407
2,14.947032317183949,373.6758079295987,29.894064634367897,11,1,928.019,500.23,300,103,0,0,NA,NA,NA,NA,NA,A04,B7_2,OSM,1,2,1,0
2,14.947032317183949,373.6758079295987,29.894064634367897,12,2,928.898,506.981,330,116,6.809,6.809,NA,6.809,0.227,82.583,NA,A04,B7_2,OSM,1,2,1,6.807983695632629
2,14.947032317183949,373.6758079295987,29.894064634367897,13,3,925.538,503.969,360,61,11.321,4.487,NA,4.513,0.15,-138.12,139.296,A04,B7_2,OSM,1,2,1,4.512398918535472
2,14.947032317183949,373.6758079295987,29.894064634367897,14,4,933.735,516.961,390,127,26.683,17.681,NA,15.362,0.512,57.752,-164.128,A04,B7_2,OSM,1,2,1,15.361734049253702
2,14.947032317183949,373.6758079295987,29.894064634367897,15,5,949.316,527.676,420,145,45.593,34.74,NA,18.91,0.63,34.515,-23.237,A04,B7_2,OSM,1,2,1,18.90975372658251
2,14.947032317183949,373.6758079295987,29.894064634367897,16,6,950.376,537.944,450,119,55.916,43.843,NA,10.323,0.344,84.108,49.594,A04,B7_2,OSM,1,2,1,10.322568672573611
2,14.947032317183949,373.6758079295987,29.894064634367897,17,7,970.033,542.874,480,119,76.182,59.864,NA,20.266,0.676,14.077,-70.031,A04,B7_2,OSM,1,2,1,20.265797516998983
2,14.947032317183949,373.6758079295987,29.894064634367897,18,8,965.072,553.973,510,73,88.34,65.278,NA,12.158,0.405,114.084,100.007,A04,B7_2,OSM,1,2,1,12.157274447835691
2,14.947032317183949,373.6758079295987,29.894064634367897,19,9,977.42,560.117,540,111,102.132,77.634,NA,13.792,0.46,26.457,-87.627,A04,B7_2,OSM,1,2,1,13.792093387154793
2,14.947032317183949,373.6758079295987,29.894064634367897,20,10,997.46,573.502,570,98,126.231,100.95,NA,24.099,0.803,33.739,7.282,A04,B7_2,OSM,1,2,1,24.09895900241342
2,14.947032317183949,373.6758079295987,29.894064634367897,21,11,1002.934,585.956,600,109,139.835,113.848,NA,13.604,0.453,66.272,32.534,A04,B7_2,OSM,1,2,1,13.603925609911313
2,14.947032317183949,373.6758079295987,29.894064634367897,22,12,1002.128,589.522,630,135,143.491,116.04,NA,3.656,0.122,102.748,36.475,A04,B7_2,OSM,1,2,1,3.655952953745453
2,14.947032317183949,373.6758079295987,29.894064634367897,23,13,997.883,593.627,660,119,149.396,116.637,NA,5.905,0.197,135.956,33.208,A04,B7_2,OSM,1,2,1,5.905171462370864
2,14.947032317183949,373.6758079295987,29.894064634367897,24,14,974.002,604.032,690,128,175.445,113.531,NA,26.05,0.868,156.459,20.503,A04,B7_2,OSM,1,2,1,26.049302984917002
2,14.947032317183949,373.6758079295987,29.894064634367897,25,15,979.091,605.493,720,133,180.74,116.999,NA,5.295,0.176,16.018,-140.441,A04,B7_2,OSM,1,2,1,5.294567215552241
2,14.947032317183949,373.6758079295987,29.894064634367897,26,16,985.358,587.993,750,134,199.328,104.835,NA,18.588,0.62,-70.295,-86.313,A04,B7_2,OSM,1,2,1,18.58831054722293
2,14.947032317183949,373.6758079295987,29.894064634367897,27,17,978.209,593.778,780,179,208.524,106.162,NA,9.196,0.307,141.02,-148.686,A04,B7_2,OSM,1,2,1,9.196435505129129
2,14.947032317183949,373.6758079295987,29.894064634367897,28,18,973.471,613.046,810,89,228.366,121.628,NA,19.842,0.661,103.816,-37.204,A04,B7_2,OSM,1,2,1,19.841987501256032
2,14.947032317183949,373.6758079295987,29.894064634367897,29,19,958.969,625.087,840,76,247.215,128.636,NA,18.849,0.628,140.299,36.483,A04,B7_2,OSM,1,2,1,18.8492356608961
2,14.947032317183949,373.6758079295987,29.894064634367897,30,20,949.359,643.761,870,133,268.217,145.109,NA,21.002,0.7,117.231,-23.068,A04,B7_2,OSM,1,2,1,21.001675552202958
2,14.947032317183949,373.6758079295987,29.894064634367897,31,21,951.658,658.833,900,138,283.463,160.355,NA,15.247,0.508,81.327,-35.903,A04,B7_2,OSM,1,2,1,15.246330214185969
2,14.947032317183949,373.6758079295987,29.894064634367897,32,22,944.037,654.26,930,127,292.351,154.861,NA,8.888,0.296,-149.031,129.642,A04,B7_2,OSM,1,2,1,8.887742683043852
2,14.947032317183949,373.6758079295987,29.894064634367897,33,23,946.633,620.494,960,73,326.216,121.696,NA,33.865,1.129,-85.604,63.427,A04,B7_2,OSM,1,2,1,33.86564589669002
2,14.947032317183949,373.6758079295987,29.894064634367897,34,24,960.048,598.361,990,40,352.097,103.226,NA,25.881,0.863,-58.779,26.825,A04,B7_2,OSM,1,2,1,25.881111143071134
2,14.947032317183949,373.6758079295987,29.894064634367897,35,25,970.55,617.213,1020,151,373.677,124.475,NA,21.58,0.719,60.881,119.66,A04,B7_2,OSM,1,2,1,21.579849582422906
3,15.868175526198003,349.0998615763561,31.736351052396007,36,1,981.964,613.28,1050,24,0,0,NA,NA,NA,NA,NA,A04,B7_2,OSM,2,3,1,0
3,15.868175526198003,349.0998615763561,31.736351052396007,37,2,974.63,589.417,1080,52,24.965,24.965,NA,24.965,0.832,-107.083,NA,A04,B7_2,OSM,2,3,1,24.964581410470277
3,15.868175526198003,349.0998615763561,31.736351052396007,38,3,964.691,604.483,1110,95,43.014,19.384,NA,18.049,0.602,123.412,-129.505,A04,B7_2,OSM,2,3,1,18.049046429105246
3,15.868175526198003,349.0998615763561,31.736351052396007,39,4,972.551,594.996,1140,127,55.334,20.565,NA,12.32,0.411,-50.36,-173.772,A04,B7_2,OSM,2,3,1,12.320014975640232
3,15.868175526198003,349.0998615763561,31.736351052396007,40,5,969.707,599.371,1170,115,60.553,18.539,NA,5.219,0.174,123.032,173.392,A04,B7_2,OSM,2,3,1,5.218137694618674
3,15.868175526198003,349.0998615763561,31.736351052396007,41,6,956.906,607.003,1200,136,75.456,25.832,NA,14.903,0.497,149.197,26.164,A04,B7_2,OSM,2,3,1,14.903456813773175
