TID,distance_mean,distance_total,average_velocity,Nr,PID,xpixel,ypixel,tmin,Ival,Lenpixel,D2Spixel,D2Rpixel,D2Ppixel,vpixelmin,αdeg,Δαdeg,well,field,treatment,motherID,generation,lineage,distance
1,6.665021690642171,233.275759172476,13.330043381284343,1,1,1121.478,176.576,0,97,0,0,NA,NA,NA,NA,NA,A04,A8_2,OSM,0,1,1,0
1,6.665021690642171,233.275759172476,13.330043381284343,2,2,1119.235,175.76,30,61,2.386,2.386,NA,2.386,0.08,-160.001,NA,A04,A8_2,OSM,0,1,1,2.386819012828737
1,6.665021690642171,233.275759172476,13.330043381284343,3,3,1119.46,177.522,60,19,4.163,2.228,NA,1.777,0.059,82.726,-117.273,A04,A8_2,OSM,0,1,1,1.7763076873109747
1,6.665021690642171,233.275759172476,13.330043381284343,4,4,1118.533,178.915,90,46,5.836,3.761,NA,1.673,0.056,123.653,40.927,A04,A8_2,OSM,0,1,1,1.6732537165654977
1,6.665021690642171,233.275759172476,13.330043381284343,5,5,1119.177,175.859,120,33,8.96,2.409,NA,3.124,0.104,-78.099,158.247,A04,A8_2,OSM,0,1,1,3.1231189538664554
1,6.665021690642171,233.275759172476,13.330043381284343,6,6,1120.477,176.956,150,7,10.661,1.071,NA,1.701,0.057,40.182,118.281,A04,A8_2,OSM,0,1,1,1.7010023515564079
1,6.665021690642171,233.275759172476,13.330043381284343,7,7,1121.708,175.837,180,17,12.324,0.774,NA,1.664,0.055,-42.261,-82.443,A04,A8_2,OSM,0,1,1,1.6635870881922552
1,6.665021690642171,233.275759172476,13.330043381284343,8,8,1122.176,177.257,210,102,13.819,0.976,NA,1.495,0.05,71.766,114.027,A04,A8_2,OSM,0,1,1,1.4951334388608604
1,6.665021690642171,233.275759172476,13.330043381284343,9,9,1141.074,175.732,240,102,32.779,19.614,NA,18.959,0.632,-4.612,-76.378,A04,A8_2,OSM,0,1,1,18.959431135980985
1,6.665021690642171,233.275759172476,13.330043381284343,10,10,1145.689,176.478,270,134,37.454,24.212,NA,4.675,0.156,9.171,13.783,A04,A8_2,OSM,0,1,1,4.674905453589419
1,6.665021690642171,233.275759172476,13.330043381284343,11,11,1146.817,174.05,300,132,40.13,25.465,NA,2.677,0.089,-65.085,-74.255,A04,A8_2,OSM,0,1,1,2.6772314057622713
1,6.665021690642171,233.275759172476,13.330043381284343,12,12,1146.916,172.836,330,148,41.348,25.712,NA,1.217,0.041,-85.321,-20.237,A04,A8_2,OSM,0,1,1,1.21802996679063
1,6.665021690642171,233.275759172476,13.330043381284343,13,13,1145.391,173.156,360,157,42.906,24.157,NA,1.558,0.052,168.146,-106.533,A04,A8_2,OSM,0,1,1,1.5582121164974876
1,6.665021690642171,233.275759172476,13.330043381284343,14,14,1146.739,173.797,390,112,44.398,25.414,NA,1.492,0.05,25.413,-142.733,A04,A8_2,OSM,0,1,1,1.492643627929946
1,6.665021690642171,233.275759172476,13.330043381284343,15,15,1141.926,172.656,420,66,49.345,20.821,NA,4.947,0.165,-166.663,167.924,A04,A8_2,OSM,0,1,1,4.946397679119721
1,6.665021690642171,233.275759172476,13.330043381284343,16,16,1140.889,171.783,450,97,50.7,19.994,NA,1.355,0.045,-139.925,26.738,A04,A8_2,OSM,0,1,1,1.3555434334613201
1,6.665021690642171,233.275759172476,13.330043381284343,17,17,1140.928,169.307,480,17,53.176,20.764,NA,2.476,0.083,-89.103,50.823,A04,A8_2,OSM,0,1,1,2.4763071295782377
1,6.665021690642171,233.275759172476,13.330043381284343,18,18,1132.445,173.072,510,120,62.457,11.513,NA,9.281,0.309,156.068,-114.829,A04,A8_2,OSM,0,1,1,9.280975918512183
1,6.665021690642171,233.275759172476,13.330043381284343,19,19,1130.682,170.492,540,57,65.582,11.033,NA,3.125,0.104,-124.34,79.591,A04,A8_2,OSM,0,1,1,3.124831035432121
1,6.665021690642171,233.275759172476,13.330043381284343,20,20,1141.812,168.139,570,61,76.958,22.015,NA,11.376,0.379,-11.934,112.406,A04,A8_2,OSM,0,1,1,11.376005845638321
1,6.665021690642171,233.275759172476,13.330043381284343,21,21,1140.014,171.627,600,113,80.882,19.186,NA,3.924,0.131,117.27,129.204,A04,A8_2,OSM,0,1,1,3.924149334569214
1,6.665021690642171,233.275759172476,13.330043381284343,22,22,1139.383,171.472,630,91,81.531,18.619,NA,0.65,0.022,-166.211,76.519,A04,A8_2,OSM,0,1,1,0.6497584166440796
1,6.665021690642171,233.275759172476,13.330043381284343,23,23,1139.943,174.409,660,162,84.521,18.592,NA,2.99,0.1,79.216,-114.573,A04,A8_2,OSM,0,1,1,2.989911202694796
1,6.665021690642171,233.275759172476,13.330043381284343,24,24,1140.047,173.413,690,137,85.523,18.837,NA,1.002,0.033,-84.02,-163.236,A04,A8_2,OSM,0,1,1,1.0014149988890573
1,6.665021690642171,233.275759172476,13.330043381284343,25,25,1142.213,174.262,720,181,87.849,20.864,NA,2.326,0.078,21.402,105.422,A04,A8_2,OSM,0,1,1,2.326447291472498
1,6.665021690642171,233.275759172476,13.330043381284343,26,26,1137.575,174.523,750,133,92.494,16.228,NA,4.645,0.155,176.784,155.382,A04,A8_2,OSM,0,1,1,4.6453379855505945
1,6.665021690642171,233.275759172476,13.330043381284343,27,27,1137.047,171.805,780,159,95.263,16.284,NA,2.769,0.092,-100.995,82.221,A04,A8_2,OSM,0,1,1,2.768809852626208
1,6.665021690642171,233.275759172476,13.330043381284343,28,28,1145.868,169.578,810,41,104.361,25.374,NA,9.098,0.303,-14.167,86.828,A04,A8_2,OSM,0,1,1,9.09777830022245
1,6.665021690642171,233.275759172476,13.330043381284343,29,29,1142.375,171.742,840,114,108.47,21.449,NA,4.109,0.137,148.225,162.392,A04,A8_2,OSM,0,1,1,4.109007787775476
1,6.665021690642171,233.275759172476,13.330043381284343,30,30,1138.887,172.46,870,0,112.031,17.889,NA,3.561,0.119,168.365,20.141,A04,A8_2,OSM,0,1,1,3.5611329657849646
1,6.665021690642171,233.275759172476,13.330043381284343,31,31,1172.874,177.465,900,149,146.384,51.404,NA,34.353,1.145,8.377,-159.988,A04,A8_2,OSM,0,1,1,34.35354703665992
