TID,distance_mean,distance_total,average_velocity,Nr,PID,xpixel,ypixel,tmin,Ival,Lenpixel,D2Spixel,D2Rpixel,D2Ppixel,vpixelmin,αdeg,Δαdeg,well,field,treatment,motherID,generation,lineage,distance
1,10.75059398338606,322.5178195015818,21.50118796677212,1,1,725.228,512.076,0,61,0,0,NA,NA,NA,NA,NA,A04,A7_3,OSM,0,1,1,0
1,10.75059398338606,322.5178195015818,21.50118796677212,2,5,727.459,511.292,30,99,2.365,2.365,NA,2.365,0.079,-19.38,NA,A04,A7_3,OSM,0,1,1,2.364744595088453
1,10.75059398338606,322.5178195015818,21.50118796677212,3,2,727.768,514.011,60,113,5.102,3.193,NA,2.737,0.091,83.508,102.888,A04,A7_3,OSM,0,1,1,2.7365017814721075
1,10.75059398338606,322.5178195015818,21.50118796677212,4,3,732.654,507.738,120,125,13.054,8.601,NA,7.952,0.133,-52.087,-135.595,A04,A7_3,OSM,0,1,1,7.951322217090644
1,10.75059398338606,322.5178195015818,21.50118796677212,5,6,730.121,507.316,150,79,15.622,6.827,NA,2.569,0.086,-170.54,-118.453,A04,A7_3,OSM,0,1,1,2.5679121869721517
1,10.75059398338606,322.5178195015818,21.50118796677212,6,7,720.084,517.882,180,53,30.196,7.757,NA,14.574,0.486,133.527,-55.933,A04,A7_3,OSM,0,1,1,14.573322373432907
1,10.75059398338606,322.5178195015818,21.50118796677212,7,8,725.459,515.443,210,166,36.099,3.374,NA,5.903,0.197,-24.412,-157.939,A04,A7_3,OSM,0,1,1,5.9024864252279166
1,10.75059398338606,322.5178195015818,21.50118796677212,8,9,731.002,510.228,240,152,43.709,6.063,NA,7.61,0.254,-43.25,-18.838,A04,A7_3,OSM,0,1,1,7.610589596082541
1,10.75059398338606,322.5178195015818,21.50118796677212,9,10,731.091,510.729,270,158,44.218,6.016,NA,0.509,0.017,80,123.25,A04,A7_3,OSM,0,1,1,0.5088437874239856
1,10.75059398338606,322.5178195015818,21.50118796677212,10,11,734.132,508.798,300,137,47.821,9.488,NA,3.603,0.12,-32.42,-112.42,A04,A7_3,OSM,0,1,1,3.602282887281282
1,10.75059398338606,322.5178195015818,21.50118796677212,11,12,736.92,506.007,330,138,51.765,13.173,NA,3.944,0.131,-45.026,-12.606,A04,A7_3,OSM,0,1,1,3.9449493025893303
1,10.75059398338606,322.5178195015818,21.50118796677212,12,13,736.953,506.452,360,133,52.211,13.004,NA,0.446,0.015,85.754,130.78,A04,A7_3,OSM,0,1,1,0.44622191788391
1,10.75059398338606,322.5178195015818,21.50118796677212,13,14,744.343,502.144,390,136,60.765,21.542,NA,8.554,0.285,-30.239,-115.992,A04,A7_3,OSM,0,1,1,8.554002805704458
1,10.75059398338606,322.5178195015818,21.50118796677212,14,15,748.81,496.522,420,110,67.946,28.25,NA,7.181,0.239,-51.533,-21.294,A04,A7_3,OSM,0,1,1,7.180596980753064
1,10.75059398338606,322.5178195015818,21.50118796677212,15,16,748.79,496.827,450,122,68.252,28.066,NA,0.306,0.01,93.725,145.257,A04,A7_3,OSM,0,1,1,0.3056550343115641
1,10.75059398338606,322.5178195015818,21.50118796677212,16,17,748.761,496.728,480,110,68.356,28.096,NA,0.104,0.003,-106.287,159.988,A04,A7_3,OSM,0,1,1,0.10316006979445932
1,10.75059398338606,322.5178195015818,21.50118796677212,17,18,743.286,498.248,510,89,74.038,22.745,NA,5.682,0.189,164.479,-89.234,A04,A7_3,OSM,0,1,1,5.682079284909723
1,10.75059398338606,322.5178195015818,21.50118796677212,18,19,728.74,513.709,540,109,95.266,3.873,NA,21.228,0.708,133.254,-31.225,A04,A7_3,OSM,0,1,1,21.22801538062371
1,10.75059398338606,322.5178195015818,21.50118796677212,19,20,716.921,518.844,570,22,108.153,10.715,NA,12.887,0.43,156.515,23.261,A04,A7_3,OSM,0,1,1,12.886310022655831
1,10.75059398338606,322.5178195015818,21.50118796677212,20,21,680.638,533.085,600,90,147.13,49.291,NA,38.977,1.299,158.571,2.055,A04,A7_3,OSM,0,1,1,38.9777137605581
1,10.75059398338606,322.5178195015818,21.50118796677212,21,22,665.939,542.979,630,140,164.849,66.859,NA,17.719,0.591,146.054,-12.517,A04,A7_3,OSM,0,1,1,17.71868609688659
1,10.75059398338606,322.5178195015818,21.50118796677212,22,23,676.77,532.606,660,129,179.845,52.627,NA,14.997,0.5,-43.762,170.184,A04,A7_3,OSM,0,1,1,14.99698936453585
1,10.75059398338606,322.5178195015818,21.50118796677212,23,24,748.906,499.077,690,82,259.393,27.012,NA,79.547,2.652,-24.929,18.833,A04,A7_3,OSM,0,1,1,79.54744708034315
1,10.75059398338606,322.5178195015818,21.50118796677212,24,25,734.358,495.565,720,76,274.358,18.867,NA,14.966,0.499,-166.429,-141.499,A04,A7_3,OSM,0,1,1,14.965909527990608
1,10.75059398338606,322.5178195015818,21.50118796677212,25,26,739.445,503.76,750,60,284.004,16.471,NA,9.645,0.322,58.171,-135.401,A04,A7_3,OSM,0,1,1,9.645496047378845
1,10.75059398338606,322.5178195015818,21.50118796677212,26,27,737.893,498.795,780,52,289.206,18.353,NA,5.202,0.173,-107.355,-165.525,A04,A7_3,OSM,0,1,1,5.20191589705176
1,10.75059398338606,322.5178195015818,21.50118796677212,27,28,729.666,506.167,810,132,300.253,7.39,NA,11.048,0.368,138.137,-114.508,A04,A7_3,OSM,0,1,1,11.046715032080758
1,10.75059398338606,322.5178195015818,21.50118796677212,28,29,729.575,507.614,840,47,301.703,6.229,NA,1.45,0.048,93.585,-44.552,A04,A7_3,OSM,0,1,1,1.4498586137965348
1,10.75059398338606,322.5178195015818,21.50118796677212,29,30,729.586,508.101,870,62,302.19,5.899,NA,0.486,0.016,88.673,-4.912,A04,A7_3,OSM,0,1,1,0.4871242141384699
1,10.75059398338606,322.5178195015818,21.50118796677212,30,31,715.394,522.659,900,86,322.521,14.447,NA,20.332,0.678,134.271,45.598,A04,A7_3,OSM,0,1,1,20.330967217523124
2,12.191069174726907,780.2284271825221,24.382138349453815,31,1,736.84,519.163,930,91,0,0,NA,NA,NA,NA,NA,A04,A7_3,OSM,1,2,1,0
2,12.191069174726907,780.2284271825221,24.382138349453815,32,2,716.246,521.181,960,132,20.692,20.692,NA,20.692,0.69,174.404,NA,A04,A7_3,OSM,1,2,1,20.69263540489713
2,12.191069174726907,780.2284271825221,24.382138349453815,33,3,717.942,527.445,990,100,27.181,20.633,NA,6.489,0.216,74.855,-99.548,A04,A7_3,OSM,1,2,1,6.489538658487229
2,12.191069174726907,780.2284271825221,24.382138349453815,34,4,711.751,535.096,1020,41,37.023,29.72,NA,9.842,0.328,128.972,54.117,A04,A7_3,OSM,1,2,1,9.842066957707598
2,12.191069174726907,780.2284271825221,24.382138349453815,35,5,711.164,537.347,1050,99,39.349,31.462,NA,2.326,0.078,104.623,-24.349,A04,A7_3,OSM,1,2,1,2.3262781433009856
2,12.191069174726907,780.2284271825221,24.382138349453815,36,6,713.235,535.361,1080,123,42.218,28.628,NA,2.869,0.096,-43.798,-148.421,A04,A7_3,OSM,1,2,1,2.8693617757264542
2,12.191069174726907,780.2284271825221,24.382138349453815,37,7,712.085,536.477,1110,70,43.82,30.208,NA,1.602,0.053,135.858,179.656,A04,A7_3,OSM,1,2,1,1.602484321296129
2,12.191069174726907,780.2284271825221,24.382138349453815,38,8,711.428,536.699,1140,9,44.513,30.875,NA,0.693,0.023,161.3,25.443,A04,A7_3,OSM,1,2,1,0.6934933308980286
2,12.191069174726907,780.2284271825221,24.382138349453815,39,9,711.268,542.244,1170,117,50.061,34.448,NA,5.547,0.185,91.66,-69.641,A04,A7_3,OSM,1,2,1,5.547307905642231
2,12.191069174726907,780.2284271825221,24.382138349453815,40,10,714.746,535.068,1200,90,58.035,27.223,NA,7.975,0.266,-64.143,-155.803,A04,A7_3,OSM,1,2,1,7.9744253711474595
2,12.191069174726907,780.2284271825221,24.382138349453815,41,11,715.131,534.731,1230,123,58.547,26.714,NA,0.511,0.017,-41.167,22.976,A04,A7_3,OSM,1,2,1,0.5116580889617457
2,12.191069174726907,780.2284271825221,24.382138349453815,42,12,712.933,536.455,1260,126,61.34,29.505,NA,2.793,0.093,141.886,-176.947,A04,A7_3,OSM,1,2,1,2.7934530602822143
2,12.191069174726907,780.2284271825221,24.382138349453815,43,13,716.123,536.9,1290,105,64.56,27.273,NA,3.22,0.107,7.947,-133.939,A04,A7_3,OSM,1,2,1,3.2208888524753987
2,12.191069174726907,780.2284271825221,24.382138349453815,44,14,719.807,540.705,1320,126,69.856,27.462,NA,5.296,0.177,45.918,37.971,A04,A7_3,OSM,1,2,1,5.2962138363174365
2,12.191069174726907,780.2284271825221,24.382138349453815,45,15,723.872,540.252,1350,168,73.947,24.757,NA,4.09,0.136,-6.35,-52.268,A04,A7_3,OSM,1,2,1,4.090163077433417
2,12.191069174726907,780.2284271825221,24.382138349453815,46,16,729.333,535.139,1380,101,81.428,17.651,NA,7.482,0.249,-43.119,-36.768,A04,A7_3,OSM,1,2,1,7.480995254643566
2,12.191069174726907,780.2284271825221,24.382138349453815,47,17,725.906,536.315,1410,104,85.052,20.341,NA,3.624,0.121,161.051,-155.831,A04,A7_3,OSM,1,2,1,3.623162292804484
2,12.191069174726907,780.2284271825221,24.382138349453815,48,18,726.725,536.888,1440,169,86.051,20.408,NA,0.999,0.033,34.96,-126.09,A04,A7_3,OSM,1,2,1,0.9995448964404233
2,12.191069174726907,780.2284271825221,24.382138349453815,49,19,722.312,536.815,1470,184,90.464,22.861,NA,4.413,0.147,-179.056,145.983,A04,A7_3,OSM,1,2,1,4.413603742974678
2,12.191069174726907,780.2284271825221,24.382138349453815,50,20,724.675,538.391,1500,176,93.304,22.752,NA,2.84,0.095,33.69,-147.254,A04,A7_3,OSM,1,2,1,2.8403424089358382
2,12.191069174726907,780.2284271825221,24.382138349453815,51,21,721.86,537.841,1530,241,96.172,23.943,NA,2.868,0.096,-168.961,157.349,A04,A7_3,OSM,1,2,1,2.868226804142172
2,12.191069174726907,780.2284271825221,24.382138349453815,52,22,725.39,538.448,1560,186,99.754,22.428,NA,3.581,0.119,9.757,178.718,A04,A7_3,OSM,1,2,1,3.581808062975984
2,12.191069174726907,780.2284271825221,24.382138349453815,53,23,730.914,536.823,1590,86,105.512,18.628,NA,5.758,0.192,-16.392,-26.149,A04,A7_3,OSM,1,2,1,5.758055314079573
2,12.191069174726907,780.2284271825221,24.382138349453815,54,24,731.163,534.789,1620,188,107.561,16.626,NA,2.049,0.068,-83.017,-66.625,A04,A7_3,OSM,1,2,1,2.049184471930231
2,12.191069174726907,780.2284271825221,24.382138349453815,55,25,734.196,533.517,1650,141,110.851,14.595,NA,3.29,0.11,-22.76,60.257,A04,A7_3,OSM,1,2,1,3.2889318934875993
