TID,distance_mean,distance_total,average_velocity,Nr,PID,xpixel,ypixel,tmin,Ival,Lenpixel,D2Spixel,D2Rpixel,D2Ppixel,vpixelmin,αdeg,Δαdeg,well,field,treatment,motherID,generation,lineage,distance
1,9.553891267640054,573.2334760584033,19.107782535280112,1,1,735,224,0,1,0,0,NA,NA,NA,NA,NA,A04,B8_2,OSM,0,1,1,0
1,9.553891267640054,573.2334760584033,19.107782535280112,2,2,735,222,30,34,2,2,NA,2,0.067,-90,NA,A04,B8_2,OSM,0,1,1,2
1,9.553891267640054,573.2334760584033,19.107782535280112,3,3,735,222,60,90,2,2,NA,0,0,0,90,A04,B8_2,OSM,0,1,1,0
1,9.553891267640054,573.2334760584033,19.107782535280112,4,4,735,225,90,100,5,1,NA,3,0.1,90,90,A04,B8_2,OSM,0,1,1,3
1,9.553891267640054,573.2334760584033,19.107782535280112,5,5,732,225,120,63,8,3.162,NA,3,0.1,180,90,A04,B8_2,OSM,0,1,1,3
1,9.553891267640054,573.2334760584033,19.107782535280112,6,6,726,227,150,134,14.325,9.487,NA,6.325,0.211,161.565,-18.435,A04,B8_2,OSM,0,1,1,6.324555320336759
1,9.553891267640054,573.2334760584033,19.107782535280112,7,7,726,233,180,39,20.325,12.728,NA,6,0.2,90,-71.565,A04,B8_2,OSM,0,1,1,6
1,9.553891267640054,573.2334760584033,19.107782535280112,8,8,719,236,210,5,27.94,20,NA,7.616,0.254,156.801,66.801,A04,B8_2,OSM,0,1,1,7.615773105863909
1,9.553891267640054,573.2334760584033,19.107782535280112,9,9,717,236,240,138,29.94,21.633,NA,2,0.067,180,23.199,A04,B8_2,OSM,0,1,1,2
1,9.553891267640054,573.2334760584033,19.107782535280112,10,10,717,238,270,50,31.94,22.804,NA,2,0.067,90,-90,A04,B8_2,OSM,0,1,1,2
1,9.553891267640054,573.2334760584033,19.107782535280112,11,11,710,244,300,25,41.16,32.016,NA,9.22,0.307,139.399,49.399,A04,B8_2,OSM,0,1,1,9.219544457292887
1,9.553891267640054,573.2334760584033,19.107782535280112,12,12,705,245,330,103,46.259,36.62,NA,5.099,0.17,168.69,29.291,A04,B8_2,OSM,0,1,1,5.0990195135927845
1,9.553891267640054,573.2334760584033,19.107782535280112,13,13,695,245,360,75,56.259,45.177,NA,10,0.333,180,11.31,A04,B8_2,OSM,0,1,1,10
1,9.553891267640054,573.2334760584033,19.107782535280112,14,14,695,252,390,104,63.259,48.826,NA,7,0.233,90,-90,A04,B8_2,OSM,0,1,1,7
1,9.553891267640054,573.2334760584033,19.107782535280112,15,15,695,260,420,5,71.259,53.814,NA,8,0.267,90,0,A04,B8_2,OSM,0,1,1,8
