TID,distance_mean,distance_total,average_velocity,Nr,PID,xpixel,ypixel,tmin,Ival,Lenpixel,D2Spixel,D2Rpixel,D2Ppixel,vpixelmin,αdeg,Δαdeg,well,field,treatment,motherID,generation,lineage,distance
1,6.556949684241838,550.7837734763144,13.113899368483676,1,1,387.5,236,0,126,0,0,NA,NA,NA,NA,NA,A03,A6_2,HGF,0,1,1,0
1,6.556949684241838,550.7837734763144,13.113899368483676,2,2,385.5,232,30,88,4.472,4.472,NA,4.472,0.149,-116.565,NA,A03,A6_2,HGF,0,1,1,4.47213595499958
1,6.556949684241838,550.7837734763144,13.113899368483676,3,3,388,235.5,60,71,8.773,0.707,NA,4.301,0.143,54.462,171.027,A03,A6_2,HGF,0,1,1,4.301162633521313
1,6.556949684241838,550.7837734763144,13.113899368483676,4,4,389,239,90,114,12.413,3.354,NA,3.64,0.121,74.055,19.592,A03,A6_2,HGF,0,1,1,3.640054944640259
1,6.556949684241838,550.7837734763144,13.113899368483676,5,5,387.5,239,120,126,13.913,3,NA,1.5,0.05,180,105.945,A03,A6_2,HGF,0,1,1,1.5
1,6.556949684241838,550.7837734763144,13.113899368483676,6,6,385,236.5,150,23,17.449,2.55,NA,3.536,0.118,-135,45,A03,A6_2,HGF,0,1,1,3.5355339059327378
1,6.556949684241838,550.7837734763144,13.113899368483676,7,7,385.5,232.5,180,95,21.48,4.031,NA,4.031,0.134,-82.875,52.125,A03,A6_2,HGF,0,1,1,4.031128874149275
1,6.556949684241838,550.7837734763144,13.113899368483676,8,8,386,230,210,97,24.03,6.185,NA,2.55,0.085,-78.69,4.185,A03,A6_2,HGF,0,1,1,2.5495097567963922
1,6.556949684241838,550.7837734763144,13.113899368483676,9,9,386.5,230.5,240,40,24.737,5.59,NA,0.707,0.024,45,123.69,A03,A6_2,HGF,0,1,1,0.7071067811865476
1,6.556949684241838,550.7837734763144,13.113899368483676,10,10,387,231.5,270,9,25.855,4.528,NA,1.118,0.037,63.435,18.435,A03,A6_2,HGF,0,1,1,1.118033988749895
1,6.556949684241838,550.7837734763144,13.113899368483676,11,11,385,230,300,11,28.355,6.5,NA,2.5,0.083,-143.13,153.435,A03,A6_2,HGF,0,1,1,2.5
1,6.556949684241838,550.7837734763144,13.113899368483676,12,12,385,234,330,49,32.355,3.202,NA,4,0.133,90,-126.87,A03,A6_2,HGF,0,1,1,4
1,6.556949684241838,550.7837734763144,13.113899368483676,13,13,386,232.5,360,5,34.157,3.808,NA,1.803,0.06,-56.31,-146.31,A03,A6_2,HGF,0,1,1,1.8027756377319946
1,6.556949684241838,550.7837734763144,13.113899368483676,14,14,388,232,390,68,36.219,4.031,NA,2.062,0.069,-14.036,42.274,A03,A6_2,HGF,0,1,1,2.0615528128088303
1,6.556949684241838,550.7837734763144,13.113899368483676,15,15,386.5,233,420,15,38.022,3.162,NA,1.803,0.06,146.31,160.346,A03,A6_2,HGF,0,1,1,1.8027756377319946
1,6.556949684241838,550.7837734763144,13.113899368483676,16,16,387.5,231,450,0,40.258,5,NA,2.236,0.075,-63.435,150.255,A03,A6_2,HGF,0,1,1,2.23606797749979
1,6.556949684241838,550.7837734763144,13.113899368483676,17,17,387.5,233,480,153,42.258,3,NA,2,0.067,90,153.435,A03,A6_2,HGF,0,1,1,2
1,6.556949684241838,550.7837734763144,13.113899368483676,18,18,385.5,231,510,133,45.086,5.385,NA,2.828,0.094,-135,135,A03,A6_2,HGF,0,1,1,2.8284271247461903
1,6.556949684241838,550.7837734763144,13.113899368483676,19,19,387,228,540,96,48.44,8.016,NA,3.354,0.112,-63.435,71.565,A03,A6_2,HGF,0,1,1,3.3541019662496847
1,6.556949684241838,550.7837734763144,13.113899368483676,20,20,386.5,232,570,59,52.471,4.123,NA,4.031,0.134,97.125,160.56,A03,A6_2,HGF,0,1,1,4.031128874149275
1,6.556949684241838,550.7837734763144,13.113899368483676,21,21,387,236,600,47,56.503,0.5,NA,4.031,0.134,82.875,-14.25,A03,A6_2,HGF,0,1,1,4.031128874149275
1,6.556949684241838,550.7837734763144,13.113899368483676,22,22,387.5,242,630,143,62.523,6,NA,6.021,0.201,85.236,2.361,A03,A6_2,HGF,0,1,1,6.020797289396148
1,6.556949684241838,550.7837734763144,13.113899368483676,23,23,389,239.5,660,14,65.439,3.808,NA,2.915,0.097,-59.036,-144.273,A03,A6_2,HGF,0,1,1,2.9154759474226504
1,6.556949684241838,550.7837734763144,13.113899368483676,24,24,390.5,230.5,690,47,74.563,6.265,NA,9.124,0.304,-80.538,-21.501,A03,A6_2,HGF,0,1,1,9.12414379544733
1,6.556949684241838,550.7837734763144,13.113899368483676,25,25,388.5,228.5,720,119,77.391,7.566,NA,2.828,0.094,-135,-54.462,A03,A6_2,HGF,0,1,1,2.8284271247461903
1,6.556949684241838,550.7837734763144,13.113899368483676,26,26,390,229.5,750,76,79.194,6.964,NA,1.803,0.06,33.69,168.69,A03,A6_2,HGF,0,1,1,1.8027756377319946
1,6.556949684241838,550.7837734763144,13.113899368483676,27,27,391,227,780,28,81.887,9.657,NA,2.693,0.09,-68.199,-101.889,A03,A6_2,HGF,0,1,1,2.692582403567252
1,6.556949684241838,550.7837734763144,13.113899368483676,28,28,392,230,810,115,85.049,7.5,NA,3.162,0.105,71.565,139.764,A03,A6_2,HGF,0,1,1,3.1622776601683795
1,6.556949684241838,550.7837734763144,13.113899368483676,29,29,386,225.5,840,113,92.549,10.607,NA,7.5,0.25,-143.13,145.305,A03,A6_2,HGF,0,1,1,7.5
1,6.556949684241838,550.7837734763144,13.113899368483676,30,30,389,230,870,95,97.957,6.185,NA,5.408,0.18,56.31,-160.56,A03,A6_2,HGF,0,1,1,5.408326913195984
1,6.556949684241838,550.7837734763144,13.113899368483676,31,31,391,230,900,53,99.957,6.946,NA,2,0.067,0,-56.31,A03,A6_2,HGF,0,1,1,2
1,6.556949684241838,550.7837734763144,13.113899368483676,32,32,385,229.5,930,93,105.978,6.964,NA,6.021,0.201,-175.236,-175.236,A03,A6_2,HGF,0,1,1,6.020797289396148
1,6.556949684241838,550.7837734763144,13.113899368483676,33,33,390,229,960,55,111.003,7.433,NA,5.025,0.167,-5.711,169.526,A03,A6_2,HGF,0,1,1,5.024937810560445
1,6.556949684241838,550.7837734763144,13.113899368483676,34,34,390.5,227.5,990,83,112.584,9.014,NA,1.581,0.053,-71.565,-65.854,A03,A6_2,HGF,0,1,1,1.5811388300841898
1,6.556949684241838,550.7837734763144,13.113899368483676,35,35,391,235.5,1020,57,120.6,3.536,NA,8.016,0.267,86.424,157.989,A03,A6_2,HGF,0,1,1,8.0156097709407
1,6.556949684241838,550.7837734763144,13.113899368483676,36,36,390,226.5,1050,123,129.655,9.823,NA,9.055,0.302,-96.34,177.236,A03,A6_2,HGF,0,1,1,9.055385138137417
1,6.556949684241838,550.7837734763144,13.113899368483676,37,37,388.5,222,1080,51,134.399,14.036,NA,4.743,0.158,-108.435,-12.095,A03,A6_2,HGF,0,1,1,4.743416490252569
1,6.556949684241838,550.7837734763144,13.113899368483676,38,38,386,234.5,1110,72,147.146,2.121,NA,12.748,0.425,101.31,-150.255,A03,A6_2,HGF,0,1,1,12.747548783981962
1,6.556949684241838,550.7837734763144,13.113899368483676,39,39,389.5,235.5,1140,99,150.786,2.062,NA,3.64,0.121,15.945,-85.365,A03,A6_2,HGF,0,1,1,3.640054944640259
1,6.556949684241838,550.7837734763144,13.113899368483676,40,40,390,227.5,1170,97,158.802,8.86,NA,8.016,0.267,-86.424,-102.369,A03,A6_2,HGF,0,1,1,8.0156097709407
1,6.556949684241838,550.7837734763144,13.113899368483676,41,41,391,220,1200,27,166.368,16.378,NA,7.566,0.252,-82.405,4.018,A03,A6_2,HGF,0,1,1,7.566372975210778
